Timestamp,TotalRequests,RejectedRequests,ProbabilityOfRejection,AverageBufferTime,AverageProcessingTime,Specialist1WorkTimeRatio,Specialist2WorkTimeRatio,Specialist3WorkTimeRatio
2024-12-25T03:23:48.2208416+03:00,1,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:48.3609433+03:00,2,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:48.4648501+03:00,2,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:48.5686259+03:00,3,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:48.6716782+03:00,3,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:48.7755485+03:00,4,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:48.8789341+03:00,4,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:48.9817293+03:00,5,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:49.0860698+03:00,5,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:49.1906832+03:00,6,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:49.2948815+03:00,6,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:49.3977288+03:00,7,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:49.5010673+03:00,7,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:49.6053156+03:00,8,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:49.7096238+03:00,8,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:49.8130389+03:00,9,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:49.9176738+03:00,9,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:50.0214046+03:00,10,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:50.1260955+03:00,11,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:50.2298509+03:00,11,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:50.3344536+03:00,12,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:50.4383645+03:00,12,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:50.5413808+03:00,13,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:50.6453795+03:00,13,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:50.7491844+03:00,14,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:50.8535765+03:00,14,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:50.9581418+03:00,15,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:51.0636122+03:00,15,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:51.1677277+03:00,16,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:51.2709832+03:00,16,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:51.392371+03:00,17,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:51.4936772+03:00,17,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:51.5974035+03:00,18,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:51.7025107+03:00,18,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:51.807157+03:00,19,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:51.910805+03:00,19,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:52.0161801+03:00,20,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:52.1196289+03:00,20,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:52.2230605+03:00,21,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:52.3282654+03:00,21,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:52.4319105+03:00,22,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:52.5366334+03:00,23,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:52.6404843+03:00,23,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:52.7442742+03:00,24,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:52.8493857+03:00,24,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:52.9544375+03:00,25,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:53.058996+03:00,25,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:53.1639875+03:00,26,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:53.2677732+03:00,26,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:53.3720992+03:00,27,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
2024-12-25T03:23:53.4757196+03:00,27,0,0.0000,0.000000,0.000000,0.0000,0.0000,0.0000
